Age Group,Birthdate,City,Department,Education Level,Employee ID,First Name,FULL name,Gender,Hiredate,Job Title,Last Name,LOCATION,Performance Rating,State,status,Termdate,Age,length of hire,Salary,Total Active,Total Hired,Total terminated
55+,4/1/1963,New York City,Sales,PhD,00-59684848,Kendra,Kendra Galloway,Female,11/29/2018,Sales Manager,Galloway,HQ,Excellent,New York,TERMINETED,12/8/2019,61,1,104162,0,1,1
55+,2/3/1963,New York City,Customer Service,BS,00-96977837,Jesse,Jesse Garcia,Male,4/17/2016,Customer Service Representative,Garcia,HQ,Good,New York,TERMINETED,1/29/2023,61,7,63873,0,1,1
55+,6/28/1959,Warren,IT,BS,00-81691040,Shawn,Shawn Flowers,Male,3/5/2022,IT Support Specialist,Flowers,BRANCH,Excellent,Michigan,TERMINETED,9/1/2022,65,0,66250,0,1,1
45-54,9/14/1973,New York City,Customer Service,BS,00-60929647,Mitchell,Mitchell Clark,Male,4/14/2017,Support Specialist,Clark,HQ,Satisfactory,New York,TERMINETED,6/16/2024,51,7,61729,0,1,1
45-54,6/29/1979,New York City,Sales,MS,00-84752529,Jacqueline,Jacqueline Sutton,Female,1/28/2017,Sales Manager,Sutton,HQ,Good,New York,TERMINETED,8/6/2022,45,5,84046,0,1,1
25-35,7/10/1994,Raleigh,Sales,PhD,00-17507864,Chelsea,Chelsea Jackson,Male,10/11/2017,Sales Specialist,Jackson,BRANCH,Excellent,North Carolina,TERMINETED,4/9/2018,30,1,69318,0,1,1
>25,7/15/2002,Philadelphia,Sales,BS,00-52339391,John,John Ford,Male,4/15/2019,Sales Consultant,Ford,BRANCH,Satisfactory,Pennsylvania,TERMINETED,10/12/2019,22,0,99002,0,1,1
25-35,4/16/1990,New York City,Operations,BS,00-86125617,Veronica,Veronica Bowman,Male,8/5/2017,Logistics Coordinator,Bowman,HQ,Good,New York,TERMINETED,2/6/2018,34,1,69163,0,1,1
25-35,12/18/1992,New York City,Operations,BS,00-97971488,Jeffrey,Jeffrey Nguyen,Male,10/25/2020,Inventory Specialist,Nguyen,HQ,Good,New York,TERMINETED,10/27/2021,32,1,65830,0,1,1
45-54,11/19/1970,New York City,Marketing,BS,00-29175900,Kimberly,Kimberly Perez,Male,1/13/2017,Content Creator,Perez,HQ,Good,New York,HIRED,,54,7,68419,1,1,0
25-35,4/20/1993,New York City,Sales,BS,00-85345555,Linda,Linda Morales,Male,1/26/2020,Sales Specialist,Morales,HQ,Needs Improvement,New York,TERMINETED,4/9/2021,31,1,71110,0,1,1
45-54,1/25/1978,Cleveland,IT,BS,00-67503414,Jason,Jason Hahn,Male,12/7/2017,System Administrator,Hahn,BRANCH,Excellent,Ohio,TERMINETED,6/4/2018,46,1,84205,0,1,1
35-44,9/18/1982,New York City,Sales,MS,00-39436733,Jennifer,Jennifer Lewis,Male,7/12/2018,Sales Specialist,Lewis,HQ,Good,New York,TERMINETED,1/8/2019,42,1,67953,0,1,1
55+,9/25/1960,New York City,IT,H- S,00-76238574,Randall,Randall Rocha,Male,6/27/2016,IT Support Specialist,Rocha,HQ,Needs Improvement,New York,TERMINETED,5/10/2021,64,5,58445,0,1,1
25-35,7/17/1992,New York City,Customer Service,BS,00-24716857,Douglas,Douglas Taylor,Female,10/17/2017,Customer Service Representative,Taylor,HQ,Satisfactory,New York,TERMINETED,11/16/2021,32,4,58697,0,1,1
45-54,5/12/1970,New York City,Sales,PhD,00-66661351,Anna,Anna Baker,Male,8/15/2020,Sales Specialist,Baker,HQ,Excellent,New York,TERMINETED,11/17/2022,54,2,77156,0,1,1
>25,11/29/2002,New York City,Sales,BS,00-89978790,Ross,Ross Silva,Female,5/20/2024,Sales Specialist,Silva,HQ,Excellent,New York,TERMINETED,11/16/2024,22,0,81038,0,1,1
35-44,5/21/1980,New York City,Finance,BS,00-84252722,Jeffrey,Jeffrey Bright,Male,7/17/2017,Accounts Payable Specialist,Bright,HQ,Satisfactory,New York,TERMINETED,1/13/2018,44,1,71339,0,1,1
35-44,2/19/1983,New York City,Operations,MS,00-25374874,Trevor,Trevor Campos,Male,12/1/2022,Operations Analyst,Campos,HQ,Excellent,New York,TERMINETED,5/30/2023,41,1,81316,0,1,1
>25,6/23/2001,New York City,IT,BS,00-45812670,Daniel,Daniel Burton,Female,11/4/2022,Software Developer,Burton,HQ,Excellent,New York,TERMINETED,2/14/2024,23,2,96947,0,1,1
35-44,3/20/1984,New York City,Operations,BS,00-49392920,Erin,Erin Carlson,Male,5/30/2019,Logistics Coordinator,Carlson,HQ,Excellent,New York,TERMINETED,4/29/2021,40,2,67437,0,1,1
55+,5/20/1969,Detroit,Sales,PhD,00-45351479,Patrick,Patrick Ferrell,Female,7/24/2018,Sales Consultant,Ferrell,BRANCH,Excellent,Michigan,TERMINETED,1/20/2019,55,1,116328,0,1,1
45-54,1/15/1972,Norfolk,Operations,BS,00-24282218,John,John Tran,Male,1/5/2017,Logistics Coordinator,Tran,BRANCH,Satisfactory,Virginia,TERMINETED,1/25/2018,52,1,67630,0,1,1
35-44,8/15/1981,New York City,Operations,BS,00-95758349,Erin,Erin Wilson,Female,12/9/2020,Logistics Coordinator,Wilson,HQ,Good,New York,TERMINETED,12/11/2021,43,1,53898,0,1,1
>25,11/10/2003,New York City,Sales,BS,00-60185867,Amanda,Amanda Adams,Female,9/6/2022,Sales Specialist,Adams,HQ,Good,New York,TERMINETED,3/5/2023,21,1,61534,0,1,1
45-54,11/26/1979,New York City,Marketing,H- S,00-81182864,Matthew,Matthew Carter,Male,3/2/2024,SEO Specialist,Carter,HQ,Needs Improvement,New York,TERMINETED,9/19/2024,45,0,78184,0,1,1
35-44,4/18/1980,New York City,Operations,BS,00-75579548,Shawn,Shawn Mckay,Female,12/7/2015,Inventory Specialist,Mckay,HQ,Good,New York,TERMINETED,3/13/2023,44,8,56559,0,1,1
55+,12/9/1959,New York City,Customer Service,BS,00-51273847,Jennifer,Jennifer Stanton,Male,10/23/2017,Support Specialist,Stanton,HQ,Satisfactory,New York,TERMINETED,12/2/2018,65,1,68635,0,1,1
>25,10/15/2002,New York City,Sales,BS,00-20570592,Guy,Guy Gaines,Male,12/4/2016,Sales Representative,Gaines,HQ,Satisfactory,New York,HIRED,,22,8,80367,1,1,0
35-44,12/1/1981,New York City,Operations,BS,00-19289546,Colleen,Colleen Skinner,Female,7/16/2018,Inventory Specialist,Skinner,HQ,Good,New York,TERMINETED,1/12/2019,43,1,63169,0,1,1
35-44,10/19/1982,Philadelphia,Sales,MS,00-26879290,Chelsea,Chelsea Hernandez,Female,10/23/2016,Sales Consultant,Hernandez,BRANCH,Good,Pennsylvania,TERMINETED,6/5/2019,42,3,71142,0,1,1
35-44,9/16/1983,New York City,Operations,H- S,00-32162965,Evan,Evan Ashley,Male,12/25/2017,Inventory Specialist,Ashley,HQ,Needs Improvement,New York,TERMINETED,12/7/2018,41,1,58830,0,1,1
45-54,4/24/1970,Grand Rapids,Customer Service,BS,00-38427073,Alyssa,Alyssa Smith,Female,5/5/2024,Customer Service Representative,Smith,BRANCH,Satisfactory,Michigan,TERMINETED,11/1/2024,54,0,66218,0,1,1
45-54,11/7/1979,New York City,Marketing,H- S,00-36998038,Tracy,Tracy Rodriguez,Female,5/21/2022,SEO Specialist,Rodriguez,HQ,Needs Improvement,New York,TERMINETED,11/17/2022,45,0,88887,0,1,1
55+,8/5/1959,New York City,Sales,PhD,00-97225156,Natasha,Natasha Decker,Male,4/30/2018,Sales Consultant,Decker,HQ,Excellent,New York,TERMINETED,11/16/2023,65,5,72859,0,1,1
35-44,1/15/1985,New York City,Operations,BS,00-26240908,John,John Allen,Male,8/9/2017,Logistics Coordinator,Allen,HQ,Excellent,New York,TERMINETED,2/5/2018,39,1,67630,0,1,1
25-35,6/21/1991,New York City,Operations,BS,00-12823170,Stacey,Stacey Miller,Male,7/7/2020,Inventory Specialist,Miller,HQ,Excellent,New York,TERMINETED,12/14/2024,33,4,61574,0,1,1
45-54,8/25/1970,New York City,IT,MS,00-39557077,Lisa,Lisa Spence,Male,7/26/2015,Software Developer,Spence,HQ,Excellent,New York,TERMINETED,12/18/2023,54,8,103756,0,1,1
35-44,12/26/1980,New York City,Operations,BS,00-17901903,Katie,Katie Anderson,Male,7/4/2017,Logistics Coordinator,Anderson,HQ,Excellent,New York,TERMINETED,12/29/2021,44,4,63227,0,1,1
25-35,3/27/1993,New York City,Operations,H- S,00-54349361,Stacey,Stacey Martin,Male,7/23/2016,Inventory Specialist,Martin,HQ,Needs Improvement,New York,HIRED,,31,8,63680,1,1,0
55+,6/24/1967,New York City,Customer Service,BS,00-99788677,Monique,Monique Henderson,Female,3/24/2019,Help Desk Technician,Henderson,HQ,Satisfactory,New York,TERMINETED,9/20/2019,57,0,90880,0,1,1
35-44,6/8/1983,Philadelphia,Marketing,H- S,00-86644106,Sarah,Sarah Campos,Female,9/24/2020,Content Creator,Campos,BRANCH,Excellent,Pennsylvania,TERMINETED,9/2/2022,41,2,52954,0,1,1
45-54,5/16/1977,New York City,Operations,BS,00-73481353,James,James Collins,Female,9/18/2017,Inventory Specialist,Collins,HQ,Good,New York,TERMINETED,3/16/2018,47,1,64475,0,1,1
35-44,1/27/1980,Allentown,Sales,PhD,00-23009833,Debra,Debra Kim,Female,7/21/2022,Sales Specialist,Kim,BRANCH,Excellent,Pennsylvania,TERMINETED,1/17/2023,44,1,93238,0,1,1
>25,12/4/2002,Grand Rapids,Operations,H- S,00-65177213,Shannon,Shannon Wright,Female,1/25/2019,Inventory Specialist,Wright,BRANCH,Needs Improvement,Michigan,TERMINETED,12/12/2022,22,3,58713,0,1,1
55+,9/19/1969,New York City,IT,BS,00-97705310,Matthew,Matthew Chapman,Female,3/30/2024,Software Developer,Chapman,HQ,Needs Improvement,New York,TERMINETED,9/26/2024,55,0,91896,0,1,1
45-54,1/18/1974,New York City,Operations,BS,00-64038913,Brianna,Brianna Smith,Male,10/2/2022,Inventory Specialist,Smith,HQ,Excellent,New York,TERMINETED,3/31/2023,50,1,71608,0,1,1
35-44,7/7/1983,New York City,Finance,BS,00-35714784,Crystal,Crystal Perez,Female,12/18/2017,Financial Analyst,Perez,HQ,Satisfactory,New York,TERMINETED,6/16/2018,41,1,71404,0,1,1
25-35,2/4/1992,New York City,Operations,BS,00-66623995,Anthony,Anthony Rivera,Male,7/19/2017,Logistics Coordinator,Rivera,HQ,Good,New York,TERMINETED,5/16/2021,32,4,59423,0,1,1
35-44,10/19/1982,New York City,Operations,BS,00-20117988,John,John Caldwell,Female,3/25/2019,Operations Analyst,Caldwell,HQ,Needs Improvement,New York,TERMINETED,9/21/2019,42,0,64183,0,1,1
35-44,7/11/1986,New York City,Operations,MS,00-16789850,Amber,Amber Cummings,Male,12/9/2022,Operations Analyst,Cummings,HQ,Excellent,New York,TERMINETED,6/7/2023,38,1,76824,0,1,1
>25,3/24/2003,New York City,Finance,BS,00-11980765,Ashley,Ashley Kennedy,Female,10/31/2018,Accountant,Kennedy,HQ,Satisfactory,New York,TERMINETED,4/29/2019,21,1,54093,0,1,1
55+,1/4/1964,New York City,Finance,BS,00-64547971,Thomas,Thomas Russell,Male,2/6/2019,Accountant,Russell,HQ,Needs Improvement,New York,TERMINETED,3/5/2021,60,2,95124,0,1,1
55+,9/13/1965,New York City,Sales,MS,00-63826716,Collin,Collin Jordan,Female,6/14/2023,Sales Specialist,Jordan,HQ,Excellent,New York,TERMINETED,12/11/2023,59,0,68345,0,1,1
45-54,7/29/1978,New York City,Customer Service,BS,00-10289289,Robert,Robert Shields,Female,1/22/2024,Help Desk Technician,Shields,HQ,Good,New York,TERMINETED,7/20/2024,46,0,61403,0,1,1
35-44,8/29/1988,New York City,Operations,BS,00-71070189,Emily,Emily Joyce,Male,2/8/2017,Inventory Specialist,Joyce,HQ,Good,New York,TERMINETED,8/27/2023,36,6,60320,0,1,1
55+,1/29/1966,New York City,Operations,H- S,00-84593961,Bruce,Bruce Chandler,Female,11/7/2022,Inventory Specialist,Chandler,HQ,Excellent,New York,TERMINETED,5/6/2023,58,1,55060,0,1,1
55+,7/22/1963,New York City,Operations,MS,00-35487660,Michelle,Michelle Wright,Male,3/15/2017,Operations Manager,Wright,HQ,Excellent,New York,TERMINETED,5/6/2018,61,1,82834,0,1,1
35-44,7/10/1988,New York City,Finance,PhD,00-82772208,Amanda,Amanda Taylor,Female,3/12/2016,Financial Analyst,Taylor,HQ,Excellent,New York,TERMINETED,11/17/2016,36,0,76564,0,1,1
25-35,10/7/1991,New York City,Finance,BS,00-16729990,Joshua,Joshua Wright,Male,12/24/2020,Accountant,Wright,HQ,Good,New York,TERMINETED,7/30/2024,33,4,63056,0,1,1
35-44,9/12/1984,New York City,Finance,BS,00-81286543,Charles,Charles Morton,Male,11/29/2017,Accountant,Morton,HQ,Satisfactory,New York,TERMINETED,5/28/2018,40,1,78616,0,1,1
55+,4/29/1960,New York City,Operations,H- S,00-34941004,Andrea,Andrea Williams,Male,7/28/2016,Inventory Specialist,Williams,HQ,Needs Improvement,New York,HIRED,,64,8,57716,1,1,0
35-44,6/12/1981,New York City,Operations,BS,00-41568532,Mary,Mary Novak,Female,12/26/2019,Logistics Coordinator,Novak,HQ,Satisfactory,New York,TERMINETED,6/23/2020,43,1,61198,0,1,1
>25,6/23/2001,New York City,IT,BS,00-87701200,Karen,Karen Young,Male,6/6/2020,IT Support Specialist,Young,HQ,Excellent,New York,TERMINETED,12/3/2020,23,0,58331,0,1,1
55+,2/24/1966,Cincinnati,Operations,BS,00-66267415,Todd,Todd Lewis,Female,6/5/2022,Logistics Coordinator,Lewis,BRANCH,Good,Ohio,TERMINETED,11/6/2024,58,2,62398,0,1,1
35-44,8/25/1984,New York City,Sales,BS,00-52462441,Rachel,Rachel Martin,Male,1/1/2024,Sales Consultant,Martin,HQ,Excellent,New York,TERMINETED,6/29/2024,40,0,94930,0,1,1
25-35,6/26/1998,New York City,Customer Service,BS,00-52169044,Tricia,Tricia Baker,Female,11/1/2017,Customer Service Representative,Baker,HQ,Good,New York,TERMINETED,3/6/2021,26,4,59179,0,1,1
45-54,5/16/1976,Greensboro,Operations,BS,00-96637649,Kristen,Kristen Mitchell,Male,9/28/2017,Logistics Coordinator,Mitchell,BRANCH,Good,North Carolina,TERMINETED,2/6/2024,48,7,74555,0,1,1
35-44,10/2/1989,New York City,Sales,PhD,00-19736572,Susan,Susan Cowan,Male,8/4/2015,Sales Manager,Cowan,HQ,Excellent,New York,HIRED,,35,9,74371,1,1,0
25-35,8/17/1990,New York City,Marketing,BS,00-23419256,Dorothy,Dorothy Tucker,Female,3/14/2016,SEO Specialist,Tucker,HQ,Excellent,New York,TERMINETED,9/10/2016,34,0,81253,0,1,1
35-44,9/30/1988,New York City,Customer Service,H- S,00-45594597,Kenneth,Kenneth Novak,Female,8/13/2017,Customer Service Representative,Novak,HQ,Needs Improvement,New York,TERMINETED,3/10/2020,36,3,56922,0,1,1
35-44,6/13/1982,New York City,Marketing,BS,00-42787299,Jill,Jill Brown,Female,5/2/2018,Content Creator,Brown,HQ,Satisfactory,New York,TERMINETED,3/12/2020,42,2,65108,0,1,1
45-54,10/31/1975,New York City,Operations,BS,00-82909480,Brian,Brian Silva,Female,7/15/2022,Logistics Coordinator,Silva,HQ,Good,New York,TERMINETED,1/11/2023,49,1,61958,0,1,1
25-35,1/11/1999,New York City,Customer Service,BS,00-97775215,Samantha,Samantha Schmidt,Female,1/23/2020,Support Specialist,Schmidt,HQ,Good,New York,TERMINETED,7/30/2022,25,2,55038,0,1,1
>25,2/6/2002,New York City,HR,MS,00-84437458,Susan,Susan Miller,Female,3/14/2017,HR Coordinator,Miller,HQ,Excellent,New York,TERMINETED,4/20/2023,22,6,63666,0,1,1
45-54,11/9/1979,New York City,Customer Service,H- S,00-28024248,Casey,Casey Jones,Female,12/1/2017,Help Desk Technician,Jones,HQ,Excellent,New York,TERMINETED,2/11/2021,45,4,58264,0,1,1
>25,2/6/2003,New York City,Sales,BS,00-84252420,Joe,Joe Wilson,Male,12/12/2017,Sales Representative,Wilson,HQ,Satisfactory,New York,TERMINETED,9/27/2022,21,5,65128,0,1,1
55+,8/5/1967,New York City,Sales,MS,00-38270233,Ashley,Ashley Riley,Male,1/16/2022,Sales Consultant,Riley,HQ,Excellent,New York,TERMINETED,7/15/2022,57,0,69316,0,1,1
25-35,10/22/1992,New York City,Operations,H- S,00-95125977,Christine,Christine Barnes,Male,8/15/2017,Inventory Specialist,Barnes,HQ,Needs Improvement,New York,TERMINETED,2/11/2018,32,1,56431,0,1,1
25-35,6/19/1997,New York City,Sales,BS,00-43704923,Annette,Annette Stewart,Male,4/12/2023,Sales Representative,Stewart,HQ,Good,New York,TERMINETED,10/9/2023,27,0,79043,0,1,1
35-44,10/29/1988,New York City,Marketing,BS,00-95132217,James,James Moran,Female,4/3/2019,Marketing Coordinator,Moran,HQ,Good,New York,TERMINETED,9/3/2024,36,5,59137,0,1,1
35-44,12/23/1982,New York City,IT,BS,00-10475894,Joseph,Joseph Anderson,Male,9/8/2018,Software Developer,Anderson,HQ,Good,New York,TERMINETED,7/16/2019,42,1,89897,0,1,1
35-44,8/31/1984,New York City,IT,BS,00-45159040,Kevin,Kevin Stewart,Female,10/19/2017,Software Developer,Stewart,HQ,Good,New York,TERMINETED,2/2/2021,40,4,80501,0,1,1
35-44,4/5/1984,Detroit,Operations,MS,00-67403166,Shari,Shari Smith,Male,8/29/2020,Operations Analyst,Smith,BRANCH,Good,Michigan,TERMINETED,2/25/2021,40,1,83772,0,1,1
35-44,10/5/1982,New York City,Operations,MS,00-30005727,Yolanda,Yolanda Ferrell,Male,1/29/2020,Operations Analyst,Ferrell,HQ,Excellent,New York,TERMINETED,7/27/2020,42,0,55106,0,1,1
35-44,10/2/1987,New York City,IT,BS,00-84158663,Amanda,Amanda Wagner,Male,2/21/2017,Software Developer,Wagner,HQ,Good,New York,HIRED,,37,7,88492,1,1,0
45-54,7/28/1976,New York City,Customer Service,H- S,00-51373735,Sarah,Sarah Ibarra,Male,12/8/2018,Help Desk Technician,Ibarra,HQ,Needs Improvement,New York,TERMINETED,4/25/2021,48,3,82441,0,1,1
55+,9/27/1962,Warren,Finance,BS,00-38195995,John,John Mitchell,Male,6/20/2022,Accountant,Mitchell,BRANCH,Good,Michigan,TERMINETED,12/17/2022,62,0,85555,0,1,1
35-44,8/1/1989,New York City,Sales,BS,00-57469942,Martha,Martha Warner,Female,8/26/2017,Sales Consultant,Warner,HQ,Satisfactory,New York,TERMINETED,2/22/2018,35,1,64372,0,1,1
45-54,3/15/1971,Grand Rapids,Customer Service,BS,00-30743797,Tonya,Tonya Roman,Female,7/24/2018,Customer Service Representative,Roman,BRANCH,Good,Michigan,TERMINETED,1/20/2019,53,1,63278,0,1,1
25-35,2/3/1998,Virginia Beach,Marketing,BS,00-31810617,Alan,Alan Montoya,Male,4/26/2024,Content Creator,Montoya,BRANCH,Needs Improvement,Virginia,TERMINETED,10/23/2024,26,0,65358,0,1,1
35-44,12/3/1983,Grand Rapids,IT,BS,00-13326769,Sarah,Sarah Garcia,Male,12/8/2017,System Administrator,Garcia,BRANCH,Good,Michigan,TERMINETED,6/6/2018,41,1,77267,0,1,1
>25,3/8/2002,New York City,Sales,BS,00-65259205,Dennis,Dennis Wilson,Female,2/11/2023,Sales Representative,Wilson,HQ,Good,New York,TERMINETED,8/10/2023,22,0,51865,0,1,1
45-54,9/23/1970,New York City,IT,MS,00-43308443,Julia,Julia Moore,Male,4/20/2017,System Administrator,Moore,HQ,Excellent,New York,TERMINETED,12/19/2024,54,7,92780,0,1,1
25-35,5/5/1992,Allentown,Customer Service,BS,00-61343880,Cassandra,Cassandra Robbins,Female,3/21/2023,Customer Service Representative,Robbins,BRANCH,Good,Pennsylvania,TERMINETED,9/17/2023,32,0,52588,0,1,1
45-54,6/23/1972,Detroit,Operations,BS,00-36786211,Grace,Grace Farrell,Female,7/16/2023,Inventory Specialist,Farrell,BRANCH,Good,Michigan,TERMINETED,1/12/2024,52,1,64186,0,1,1
45-54,5/26/1978,New York City,Operations,H- S,00-50962024,Tracy,Tracy Whitehead,Male,11/25/2017,Inventory Specialist,Whitehead,HQ,Needs Improvement,New York,TERMINETED,5/23/2018,46,1,61124,0,1,1
35-44,7/17/1982,New York City,HR,H- S,00-13176186,Brent,Brent Walters,Female,11/19/2022,Recruiter,Walters,HQ,Needs Improvement,New York,TERMINETED,5/18/2023,42,1,65797,0,1,1
>25,1/25/2001,Aurora,Sales,MS,00-47393469,Joshua,Joshua Smith,Female,10/27/2023,Sales Manager,Smith,BRANCH,Good,Illinois,TERMINETED,4/24/2024,23,1,114050,0,1,1
45-54,10/13/1975,New York City,Customer Service,H- S,00-96098221,David,David Whitney,Female,3/3/2020,Help Desk Technician,Whitney,HQ,Excellent,New York,TERMINETED,8/30/2020,49,0,64313,0,1,1
35-44,9/11/1989,Grand Rapids,Customer Service,BS,00-81969657,Joyce,Joyce Arnold,Male,6/16/2018,Support Specialist,Arnold,BRANCH,Satisfactory,Michigan,TERMINETED,4/7/2022,35,4,63557,0,1,1
35-44,11/29/1985,Detroit,Operations,H- S,00-45059710,Ann,Ann Rodriguez,Male,12/9/2017,Inventory Specialist,Rodriguez,BRANCH,Needs Improvement,Michigan,TERMINETED,6/12/2019,39,2,59128,0,1,1
35-44,2/28/1989,New York City,Customer Service,H- S,00-24549543,Hannah,Hannah Hernandez,Female,1/14/2020,Support Specialist,Hernandez,HQ,Needs Improvement,New York,TERMINETED,7/12/2020,35,0,54770,0,1,1
>25,4/4/2001,New York City,Customer Service,BS,00-52101056,Mary,Mary Aguilar,Male,2/27/2019,Support Specialist,Aguilar,HQ,Satisfactory,New York,TERMINETED,8/26/2019,23,0,64438,0,1,1
45-54,6/19/1970,New York City,HR,H- S,00-61700055,Russell,Russell Williams,Female,5/22/2023,Recruiter,Williams,HQ,Needs Improvement,New York,TERMINETED,11/18/2023,54,0,58119,0,1,1
45-54,5/21/1976,Raleigh,Customer Service,H- S,00-15957459,Rachel,Rachel Flynn,Female,12/1/2022,Help Desk Technician,Flynn,BRANCH,Needs Improvement,North Carolina,TERMINETED,5/30/2023,48,1,82922,0,1,1
45-54,2/23/1972,New York City,Marketing,BS,00-82269803,Bill,Bill Howard,Female,9/22/2022,Marketing Coordinator,Howard,HQ,Satisfactory,New York,TERMINETED,3/21/2023,52,1,74811,0,1,1
35-44,11/22/1982,Greensboro,Finance,PhD,00-36445607,John,John Garcia,Male,10/30/2018,Financial Analyst,Garcia,BRANCH,Excellent,North Carolina,TERMINETED,8/25/2021,42,3,93475,0,1,1
>25,1/6/2002,Cleveland,Customer Service,H- S,00-54318698,Anita,Anita Baxter,Male,8/30/2021,Customer Service Representative,Baxter,BRANCH,Needs Improvement,Ohio,TERMINETED,2/26/2022,22,1,59676,0,1,1
55+,12/21/1967,New York City,Sales,BS,00-26726926,Kara,Kara Frost,Male,4/2/2022,Sales Representative,Frost,HQ,Needs Improvement,New York,TERMINETED,9/29/2022,57,0,77283,0,1,1
35-44,1/11/1980,New York City,Marketing,BS,00-51511484,Michelle,Michelle Cherry,Male,11/11/2022,Content Creator,Cherry,HQ,Satisfactory,New York,TERMINETED,5/10/2023,44,1,62224,0,1,1
25-35,2/22/1997,New York City,Operations,BS,00-49682169,Gregory,Gregory Gutierrez,Male,3/10/2020,Logistics Coordinator,Gutierrez,HQ,Needs Improvement,New York,TERMINETED,9/6/2020,27,0,68683,0,1,1
55+,1/18/1967,New York City,Customer Service,H- S,00-99245317,Jill,Jill Cook,Female,12/27/2018,Customer Service Representative,Cook,HQ,Needs Improvement,New York,TERMINETED,6/25/2019,57,1,63830,0,1,1
25-35,9/9/1998,New York City,Sales,MS,00-33357554,Robert,Robert Santiago,Male,10/13/2021,Sales Specialist,Santiago,HQ,Excellent,New York,TERMINETED,4/11/2022,26,1,75850,0,1,1
25-35,12/13/1995,New York City,Customer Service,H- S,00-83542887,Lisa,Lisa Adams,Male,11/2/2017,Help Desk Technician,Adams,HQ,Excellent,New York,TERMINETED,4/30/2018,29,1,82965,0,1,1
